"","ID","cohorte","stimulus","word_freq","pseudoword_type","lexicality","length","display_condition","rt","accuracy","time_of_each_apparition","time_of_each_disparition"
"1","01IJ2z","dyslexic_children","utiliser",4,0,"word",8,15,1061.40799999982,1,"2291383.592,2291450.209,2291516.998,2291583.466,2291650.202,2291716.985,2291783.589,2291850.222,2291916.939,2291983.587,2292050.305,2292116.819,2292183.59,2292250.308,2292316.975,2292383.581","2291416.993,2291483.604,2291550.523,2291616.814,2291683.593,2291750.19,2291816.992,2291883.619,2291950.193,2292016.967,2292083.442,2292150.191,2292216.981,2292283.597,2292350.19,2292416.977"
"2","01IJ2z","dyslexic_children","décret",1,0,"word",6,15,1206.51000000001,1,"1845551.99,1845618.433,1845685.243,1845751.992,1845818.622,1845885.246,1845951.993,1846018.611,1846085.068,1846151.98,1846218.572,1846285.094,1846351.991,1846418.625,1846485.217,1846551.994,1846618.359,1846685.246,1846751.959","1845585.128,1845651.901,1845718.585,1845785.245,1845851.994,1845918.616,1845985.229,1846052.009,1846118.468,1846185.234,1846251.976,1846318.64,1846385.169,1846451.976,1846518.631,1846585.135,1846651.976,1846718.57"
"3","01IJ2z","dyslexic_children","mémoire",3,0,"word",7,10,1361.4040000001,1,"1758436.096,1758536.201,1758636.21,1758736.071,1758835.991,1758936.078,1759036.054,1759136.219,1759236.209,1759336.2,1759436.098,1759536.051,1759636.212,1759736.041","1758486.073,1758586.206,1758685.996,1758786.025,1758886.069,1758986.038,1759086.199,1759186.204,1759286.191,1759386.199,1759486.196,1759586.166,1759686.204,1759786.057"
"4","01IJ2z","dyslexic_children","écoute",2,0,"word",6,10,1344.94299995247,1,"2299116.857,2299216.819,2299316.89,2299416.913,2299516.866,2299616.883,2299716.721,2299816.892,2299916.889,2300016.888,2300116.884,2300216.643,2300316.892,2300416.895","2299166.768,2299266.867,2299366.893,2299466.892,2299566.886,2299666.71,2299766.882,2299866.9,2299966.883,2300066.882,2300166.887,2300266.808,2300366.89"
"5","01IJ2z","dyslexic_children","chuter",1,0,"word",6,0.01,1078.59100004775,1,"1926301.109",""
"6","01IJ2z","dyslexic_children","tour",4,0,"word",4,15,1195.2470000477,1,"1980799.453,1980866.06,1980932.771,1980999.416,1981066.04,1981132.779,1981199.458,1981266.006,1981332.642,1981399.435,1981465.923,1981532.74,1981599.39,1981665.929,1981732.791,1981799.391,1981865.984,1981932.654","1980832.751,1980899.414,1980965.93,1981032.844,1981099.461,1981166.044,1981232.674,1981299.453,1981365.996,1981432.811,1981499.238,1981565.986,1981632.754,1981699.419,1981765.942,1981832.783,1981899.445,1981966.032"
"7","01IJ2z","dyslexic_children","quête",2,0,"word",5,10,922.69900004752,1,"2393732.501,2393832.494,2393932.475,2394032.507,2394132.495,2394232.489,2394332.486,2394432.353,2394532.494,2394632.482","2393782.398,2393882.347,2393982.322,2394082.398,2394182.371,2394282.461,2394382.461,2394482.437,2394582.482"
"8","01IJ2z","dyslexic_children","resevoir",0,4,"pseudoword",8,15,2124.46699995222,0,"1734569.833,1734636.472,1734703.103,1734769.846,1734836.478,1734903.06,1734969.857,1735036.465,1735103.198,1735169.656,1735236.487,1735303.03,1735369.827,1735436.444,1735503.059,1735569.829,1735636.472,1735702.944,1735769.771,1735836.48,1735903.054,1735969.828,1736036.46,1736103.136,1736169.839,1736236.27,1736303.042,1736369.828,1736436.456,1736503.189,1736569.817,1736636.467","1734603.017,1734669.676,1734736.44,1734803.057,1734869.847,1734936.481,1735003.048,1735069.834,1735136.481,1735203.007,1735269.638,1735336.454,1735403.042,1735469.838,1735536.462,1735603.097,1735669.819,1735736.428,1735803.014,1735869.812,1735936.467,1736003.038,1736069.836,1736136.469,1736202.932,1736269.789,1736336.455,1736402.994,1736469.825,1736536.445,1736603.084,1736669.817"
"9","01IJ2z","dyslexic_children","cruar",0,2,"pseudoword",5,10,912.276000047568,1,"2197980.424,2198080.416,2198180.227,2198280.392,2198380.41,2198480.395,2198580.399,2198680.393,2198780.33,2198880.387","2198030.412,2198130.423,2198230.388,2198330.411,2198430.418,2198530.406,2198630.394,2198730.341,2198830.412"
"10","01IJ2z","dyslexic_children","sédercil",0,3,"pseudoword",8,10,1576.98299985705,1,"1748202.917,1748303.034,1748402.982,1748502.911,1748603.053,1748703.051,1748803.011,1748902.831,1749002.879,1749103.066,1749202.897,1749302.89,1749402.741,1749502.984,1749602.901,1749702.987","1748253.012,1748352.988,1748452.806,1748553.068,1748653.066,1748752.99,1748853.182,1748953.017,1749053.061,1749153.012,1749253.047,1749353.129,1749452.887,1749552.977,1749653.015,1749753.05"
"11","01IJ2z","dyslexic_children","entrain",1,0,"word",7,0.01,1242.49199995212,1,"2385399.308",""
"12","01IJ2z","dyslexic_children","êtrure",0,3,"pseudoword",6,10,2222.55799995223,1,"2367632.742,2367732.6,2367832.778,2367932.783,2368032.855,2368132.733,2368232.774,2368332.766,2368432.757,2368532.767,2368632.775,2368732.772,2368832.767,2368932.766,2369032.767,2369132.719,2369232.768,2369332.758,2369432.763,2369532.763,2369632.711,2369732.752,2369832.762","2367682.759,2367782.701,2367882.757,2367982.753,2368082.609,2368182.755,2368282.671,2368382.734,2368482.81,2368582.644,2368682.653,2368782.648,2368882.75,2368982.734,2369082.666,2369182.747,2369282.736,2369382.741,2369482.742,2369582.683,2369682.735,2369782.728"
"13","01IJ2z","dyslexic_children","méans",0,2,"pseudoword",5,10,945.157000000123,1,"2124347.843,2124447.875,2124547.859,2124647.857,2124747.634,2124847.855,2124947.863,2125047.852,2125147.878,2125247.65","2124397.7,2124497.758,2124597.734,2124697.769,2124797.868,2124897.863,2124997.868,2125097.878,2125197.87"
"14","01IJ2z","dyslexic_children","histeare",0,2,"pseudoword",8,15,1088.42699985672,1,"2346332.973,2346399.585,2346466.379,2346533.006,2346599.598,2346666.382,2346733.01,2346799.501,2346866.369,2346933.005,2346999.569,2347066.373,2347133.002,2347199.636,2347266.19,2347332.964,2347399.564","2346366.379,2346433.017,2346499.592,2346566.387,2346633.054,2346699.569,2346766.193,2346832.967,2346899.631,2346966.39,2347032.986,2347099.635,2347166.371,2347233.011,2347299.439,2347366.362"
"15","01IJ2z","dyslexic_children","craintre",0,6,"pseudoword",8,15,928.867999904556,0,"1927884.232,1927951.109,1928017.547,1928084.204,1928150.818,1928217.545,1928284.199,1928350.832,1928417.733,1928484.267,1928550.917,1928617.74,1928684.184,1928751.069","1927917.695,1927984.316,1928050.903,1928117.478,1928184.143,1928251.025,1928317.737,1928384.255,1928451.064,1928517.716,1928584.302,1928651.088,1928717.72,1928784.23"
