"","ID","test","order","condition","nb_correct_per_minute"
"1","01IJ2z","letters","2","daylight",54.6428571428571
"2","01IJ2z","letters","3","glasses_ON",68.1818181818182
"3","01IJ2z","letters","4","lamp_OFF",75
"4","01IJ2z","letters","5","lamp_ON",60
"5","01IJ2z","letters","6","glasses_OFF",66.8181818181818
"6","40GuhF","letters","2","lamp_OFF",76.0975609756098
"7","40GuhF","letters","3","glasses_OFF",69.3333333333333
"8","40GuhF","letters","4","lamp_ON",61.2
"9","40GuhF","letters","5","daylight",71.7073170731707
"10","40GuhF","letters","6","glasses_ON",66.3829787234042
"11","4emtRn","letters","2","lamp_OFF",36
"12","4emtRn","letters","3","glasses_OFF",34.8837209302326
"13","4emtRn","letters","4","daylight",42.3529411764706
"14","4emtRn","letters","5","glasses_ON",31.3953488372093
"15","4emtRn","letters","6","lamp_ON",42
"16","7bQeij","letters","2","glasses_ON",92.9032258064516
"17","7bQeij","letters","3","lamp_ON",97.5
"18","7bQeij","letters","4","glasses_OFF",91.875
"19","7bQeij","letters","5","daylight",92.7272727272727
"20","7bQeij","letters","6","lamp_OFF",95.625
"21","90diGv","letters","2","daylight",75.7894736842105
"22","90diGv","letters","3","lamp_ON",136.363636363636
"23","90diGv","letters","4","glasses_OFF",108.888888888889
"24","90diGv","letters","5","glasses_ON",136.363636363636
"25","90diGv","letters","6","lamp_OFF",122.5
"26","A0w7I3","letters","2","lamp_ON",42.2535211267606
"27","A0w7I3","letters","3","daylight",25.5555555555556
"28","A0w7I3","letters","4","glasses_OFF",30.3157894736842
"29","A0w7I3","letters","5","glasses_ON",32.3595505617978
"30","A0w7I3","letters","6","lamp_OFF",33
"31","ean60A","letters","2","lamp_OFF",71.1627906976744
"32","ean60A","letters","3","lamp_ON",71.1627906976744
"33","ean60A","letters","4","daylight",73.8461538461538
"34","ean60A","letters","5","glasses_OFF",74.5945945945946
"35","ean60A","letters","6","glasses_ON",89.0909090909091
"36","er1bPJ","letters","2","glasses_OFF",64
"37","er1bPJ","letters","3","lamp_OFF",73.5
"38","er1bPJ","letters","4","lamp_ON",78.9473684210526
"39","er1bPJ","letters","5","daylight",74.6341463414634
"40","er1bPJ","letters","6","glasses_ON",87.4285714285714
"41","HA3HTw","letters","2","lamp_ON",56.6037735849057
"42","HA3HTw","letters","3","glasses_ON",50.5263157894737
"43","HA3HTw","letters","4","lamp_OFF",66.3829787234042
"44","HA3HTw","letters","5","daylight",50.3225806451613
"45","HA3HTw","letters","6","glasses_OFF",52.6315789473684
"46","Hmw13Y","letters","2","lamp_ON",71.7073170731707
"47","Hmw13Y","letters","3","lamp_OFF",90
"48","Hmw13Y","letters","4","glasses_ON",94.8387096774193
