"","ID","test","order","subjective","objective","word","reading_time","accuracy"
"1","CT","words_reading",1,"ON","ON","aride",1250,1
"2","CT","words_reading",1,"ON","ON","pure",250,1
"3","CT","words_reading",1,"ON","ON","reste",230,1
"4","CT","words_reading",1,"ON","ON","douche",240,1
"5","CT","words_reading",1,"ON","ON","vendre",250,1
"6","CT","words_reading",1,"ON","ON","dure",400,1
"7","CT","words_reading",1,"ON","ON","avide",220,1
"8","CT","words_reading",1,"ON","ON","arpent",280,1
"9","CT","words_reading",1,"ON","ON","toque",470,1
"10","CT","words_reading",1,"ON","ON","décaler",470,1
"11","CT","words_reading",1,"ON","ON","trapue",520,1
"12","CT","words_reading",1,"ON","ON","rendre",350,1
"13","CT","words_reading",1,"ON","ON","huée",280,1
"14","CT","words_reading",1,"ON","ON","boisson",230,1
"15","CT","words_reading",1,"ON","ON","égaler",290,1
"16","CT","words_reading",1,"ON","ON","coure",210,1
"17","CT","words_reading",1,"ON","ON","pavage",300,1
"18","CT","words_reading",1,"ON","ON","cabot",380,1
"19","CT","words_reading",1,"ON","ON","toucher",620,1
"20","CT","words_reading",1,"ON","ON","broche",250,1
"21","CT","words_reading",1,"ON","ON","étaler",240,1
"22","CT","words_reading",1,"ON","ON","foutue",230,1
"23","CT","words_reading",1,"ON","ON","parage",280,1
"24","CT","words_reading",1,"ON","ON","salirait",150,1
"25","CT","words_reading",1,"ON","ON","grains",250,1
"26","CT","words_reading",1,"ON","ON","coucher",330,0
"27","CT","words_reading",1,"ON","ON","coureuse",610,1
"28","CT","words_reading",1,"ON","ON","risible",340,1
"29","CT","words_reading",1,"ON","ON","concours",520,1
"30","CT","words_reading",1,"ON","ON","donne",250,1
"31","CT","words_reading",1,"ON","ON","truelle",260,1
"32","CT","words_reading",1,"ON","ON","ardent",660,1
"33","CT","words_reading",1,"ON","ON","planche",990,1
"34","CT","words_reading",1,"ON","ON","visible",570,1
"35","CT","words_reading",1,"ON","ON","cadre",480,1
"36","CT","words_reading",1,"ON","ON","ogre",240,0
"37","CT","words_reading",2,"OFF","ON","planche",420,1
"38","CT","words_reading",2,"OFF","ON","ardent",710,1
"39","CT","words_reading",2,"OFF","ON","douche",160,1
"40","CT","words_reading",2,"OFF","ON","salivait",680,0
"41","CT","words_reading",2,"OFF","ON","donne",240,1
"42","CT","words_reading",2,"OFF","ON","toque",420,1
"43","CT","words_reading",2,"OFF","ON","capot",690,1
"44","CT","words_reading",2,"OFF","ON","poisson",620,1
"45","CT","words_reading",2,"OFF","ON","napper",790,0
"46","CT","words_reading",2,"OFF","ON","pleure",580,1
"47","CT","words_reading",2,"OFF","ON","toucher",590,0
"48","CT","words_reading",2,"OFF","ON","reste",590,1
"49","CT","words_reading",2,"OFF","ON","conquit",700,0
"50","CT","words_reading",2,"OFF","ON","février",2120,1
"51","CT","words_reading",2,"OFF","ON","égaler",1100,0
"52","CT","words_reading",2,"OFF","ON","fougue",380,0
"53","CT","words_reading",2,"OFF","ON","coque",1230,1
"54","CT","words_reading",2,"OFF","ON","avide",820,1
"55","CT","words_reading",2,"OFF","ON","crise",420,1
"56","CT","words_reading",2,"OFF","ON","risible",180,1
"57","CT","words_reading",2,"OFF","ON","coucher",280,0
"58","CT","words_reading",2,"OFF","ON","trapue",580,1
"59","CT","words_reading",2,"OFF","ON","lévrier",220,1
"60","CT","words_reading",2,"OFF","ON","rendre",490,1
"61","CT","words_reading",2,"OFF","ON","ocre",390,1
"62","CT","words_reading",2,"OFF","ON","traque",160,1
"63","CT","words_reading",2,"OFF","ON","concours",110,1
"64","CT","words_reading",2,"OFF","ON","complais",410,1
"65","CT","words_reading",2,"OFF","ON","dure",90,1
"66","CT","words_reading",2,"OFF","ON","cabre",490,1
"67","CT","words_reading",2,"OFF","ON","veste",410,1
"68","CT","words_reading",2,"OFF","ON","proche",520,1
"69","CT","words_reading",2,"OFF","ON","vendre",390,1
"70","CT","words_reading",2,"OFF","ON","blanche",110,1
"71","CT","words_reading",2,"OFF","ON","crains",500,1
"72","CT","words_reading",2,"OFF","ON","bouche",290,1
"73","CT","words_reading",3,"OFF","OFF","traque",150,1
"74","CT","words_reading",3,"OFF","OFF","crains",320,0
"75","CT","words_reading",3,"OFF","OFF","salirait",210,0
"76","CT","words_reading",3,"OFF","OFF","décaler",180,1
"77","CT","words_reading",3,"OFF","OFF","bonne",410,1
"78","CT","words_reading",3,"OFF","OFF","crise",520,1
"79","CT","words_reading",3,"OFF","OFF","coque",740,1
"80","CT","words_reading",3,"OFF","OFF","nuée",70,1
"81","CT","words_reading",3,"OFF","OFF","février",630,1
"82","CT","words_reading",3,"OFF","OFF","broche",450,1
"83","CT","words_reading",3,"OFF","OFF","risible",70,1
"84","CT","words_reading",3,"OFF","OFF","cabre",830,0
"85","CT","words_reading",3,"OFF","OFF","cabot",250,1
"86","CT","words_reading",3,"OFF","OFF","crasse",150,1
"87","CT","words_reading",3,"OFF","OFF","complais",130,1
"88","CT","words_reading",3,"OFF","OFF","ocre",480,1
"89","CT","words_reading",3,"OFF","OFF","douche",200,1
"90","CT","words_reading",3,"OFF","OFF","trapue",240,1
"91","CT","words_reading",3,"OFF","OFF","salivait",290,0
"92","CT","words_reading",3,"OFF","OFF","boisson",310,1
"93","CT","words_reading",3,"OFF","OFF","couve",290,1
"94","CT","words_reading",3,"OFF","OFF","grains",220,0
"95","CT","words_reading",3,"OFF","OFF","pavage",110,1
"96","CT","words_reading",3,"OFF","OFF","pleure",80,1
"97","CT","words_reading",3,"OFF","OFF","oncle",760,1
"98","CT","words_reading",3,"OFF","OFF","parage",440,1
"99","CT","words_reading",3,"OFF","OFF","vendre",190,1
"100","CT","words_reading",3,"OFF","OFF","planche",190,1
